created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-22 00:13:45+00:00,"RT @cnnbrk: A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7E…",LuKpLaMT,Thailand,"KPN07 , MTMU54, D2B FC #sniper ,หลงอยู่กูซูกลับโซลยังไม่ถูก 😂, ชอบเวิ่นเว้อ บ่นเรื่อยเปื่อย",186,267,132710,False,"A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7EEW72g https://t.co/JbaRGMDZpA"
2020-01-22 00:13:50+00:00,"RT @ABC: BREAKING: First confirmed case of the new coronavirus has been reported in Washington state, CDC says.  https://t.co/l6yHdMciBY",Charzs,"Idaho, USA","I love God, Family and our Constitution. 😊 Guess that makes me totally deplorable! PS: Go the extra mile ... it’s never very crowded. TRUMP 2020~MAGA~WWG1WGA",7655,7631,27405,False,"BREAKING: First confirmed case of the new coronavirus has been reported in Washington state, CDC says.  https://t.co/l6yHdMciBY"
2020-01-22 00:14:08+00:00,"RT @Fredros_Inc: Dear friends, please spare a few minutes, &amp; read about the #NovelCoronaVirus, and the ongoing epidemic in #Wuhan China...a…",epigiri,"Bengaluru, India","Professor | Head, Life course Epidemiology| Consulting | Physician| Wellcome Trust DBT IA Fellow | P.I of @_maasthi @thephfi | ಕನ್ನಡಿಗ | views are personal",9845,1423,36903,False,"Dear friends, please spare a few minutes, &amp; read about the #NovelCoronaVirus, and the ongoing epidemic in #Wuhan China...and now being recorded in other cities &amp; countries. Do not spread fear. Spread the right information. And protect yourself and others. https://t.co/NsGOb9Awpw"
2020-01-22 00:14:57+00:00,RT @zhang_qiii: CDC is to hold a Telebriefing re Update on 2019 Novel Coronavirus (2019-nCoV) at 2pm.,JerseyGem_w,Hong Kong SAR,,18,219,938,False,CDC is to hold a Telebriefing re Update on 2019 Novel Coronavirus (2019-nCoV) at 2pm.
2020-01-22 00:15:24+00:00,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab",Tillie71120939,,"PLEASE DON'T DIRECT MESSAGE ME!
Q sent me! I luv doggies and President Trump!",3309,3874,9262,False,"First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
2020-01-22 00:15:29+00:00,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,JKA2020_2030,,,18,166,1532,False,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://t.co/bbH7gGPuyh https://t.co/cGvFc4DYDZ"
2020-01-22 00:16:11+00:00,CDC Confirms First U.S. Case of Deadly China Virus https://t.co/GugcDU71lL via @BreitbartNews,443777,,"Old, conservative.  God fearing, USN,  BENGHAZI!  MOLON LABE, Always Trump/Pence,NRA, All Military, LEO's, White American, No Elites, #MAGA English only",18471,20217,174428,False,NaN
2020-01-22 00:16:25+00:00,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,ojcius,SF Bay Area,,539,266,3778,False,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://t.co/bbH7gGPuyh https://t.co/cGvFc4DYDZ"
2020-01-22 00:16:55+00:00,"RT @cnnbrk: A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7E…",lewing99,"North Vancouver, British Columbia",Say hello to my little ‘Send’ #Resist 🌊 🌊 🌊,6244,6853,95969,False,"A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7EEW72g https://t.co/JbaRGMDZpA"
2020-01-22 00:17:03+00:00,RT @ASavageNation: QUARANTINE!  STOP ALL TRAVELERS FROM CHINA FROM ENTERING THE U.S./ common-sense means to protect Americans!  CDC IS USEL…,USNTOARMS,WI,"Conservative,I love God,Country,& Family, Retired Deputy Sheriff, Married w/kids,Veteran-USNavy Corpsman w/Marines 3/5,On the TrumpTrain to #MAGA #DrainTheSwamp",5070,5310,27780,False,QUARANTINE!  STOP ALL TRAVELERS FROM CHINA FROM ENTERING THE U.S./ common-sense means to protect Americans!  CDC IS USELESS.  RUN BY POLITICAL HACKS NOT PUBLIC HEALTH SERVANTS
