created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-22 01:10:10+00:00,"RT @eugenegu: With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are d…",oscar_snow_wolf,"San Francisco, CA",,19,279,1577,False,"With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are definitely more cases than have been estimated. The virus has an incubation time of 8-10 days so people probably traveled internationally without symptoms."
2020-01-22 01:10:11+00:00,Did the USA government pay for them to come over here https://t.co/BA3GtmEl48,Christinalynnw5,"Holton, KS",,190,489,8988,False,NaN
2020-01-22 01:10:20+00:00,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,ShradarMorgan,,,111,73,898,False,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://t.co/bbH7gGPuyh https://t.co/cGvFc4DYDZ"
2020-01-22 01:10:50+00:00,"RT @QuickTake: JUST IN: The CDC is expected to announce the first case of the Wuhan coronavirus in the U.S., according to reports by CNN an…",ARMYPECK,ประเทศไทย,"🔅A hundred hearts would be too few to carry all my love for you.🔅
#KOOKV #kookmin #Jungkook #Euphoria @bts_twt
#เป้กกี้รีวิว",181,566,43532,False,"JUST IN: The CDC is expected to announce the first case of the Wuhan coronavirus in the U.S., according to reports by CNN and the New York Times https://t.co/VjyNYQ4T3W"
2020-01-22 01:11:16+00:00,"RT @UberFacts: The CDC has announced the first confirmed case of the Chinese coronavirus in the U.S. The patient, a man in his 30's from Wa…",tmcdonie2015,WV ,20 fishing you'll find me on the water Let's go mountaineers Competition Breeds Success,118,191,4523,False,"The CDC has announced the first confirmed case of the Chinese coronavirus in the U.S. The patient, a man in his 30's from Washington State, sought medical care on his own and is in good condition.

Since December, the virus has sickened more than 300 people in China and killed 6."
2020-01-22 01:12:20+00:00,"RT @AnneKPIX: @CDC has activated its emergency operations center. 
They expect more US cases.
#coronavirus",AEADoficial,"Campeche, México",Twitter Oficial ⚾ Me gusta el Béisbol ⚾️,341,332,147215,False,"@CDC has activated its emergency operations center. 
They expect more US cases.
#coronavirus"
2020-01-22 01:12:55+00:00,RT @MackayIM: Awesome to see China CDC (and thank you if anyone related is reading!) has added their assay deets to the WHO novel coronavir…,tamraraven,"The Big River, Missouri",Plant ecologist: 10km3x2 ECOPLAY=unique:recognizable: complex:predictable:patterning ECOTONE ECOLOGICALRESTORATION endemic plant species:VEGETATION CONNECTIVITY,2841,5000,170684,False,"Awesome to see China CDC (and thank you if anyone related is reading!) has added their assay deets to the WHO novel coronavirus page under lab guidance (https://t.co/xasnhGpISN).
#WuhanPneumonia
#Collaboration #FeelTheLove https://t.co/ElEZpO6C64"
2020-01-22 01:13:50+00:00,RT @CarolinaGurl_2: Whistleblower Claims CDC Covered Up Data Showing Vaccine-Autism Link | Time https://t.co/BZuGHdCqZj,autismbot2,Mars,This is a BOT! The purpose is to find #autism papers on twitter and retweet them. No Replies!   #autismus #autismo #asperger #autistic #autisme,804,217,143913,False,Whistleblower Claims CDC Covered Up Data Showing Vaccine-Autism Link | Time https://t.co/BZuGHdCqZj
2020-01-22 01:15:09+00:00,RT @HighWireTalk: THE TRUE COST OF AUTISM  Recap of an Historic Win in New Jersey; New CDC Study Shows Autism Underdiagnosed?!; True Cost o…,LoyolaTrue,Los Angeles,"People Lover. ""Consciousness is greater than the Universe. We are the miracle.""",874,847,18670,False,"THE TRUE COST OF AUTISM  Recap of an Historic Win in New Jersey; New CDC Study Shows Autism Underdiagnosed?!; True Cost of Autism with Political Economist Toby Rogers, PhD  #Health #MissedInformation #JerseyStrong #Autism #TheHighWire #DelBigtree https://t.co/B1tkEPNOUY"
2020-01-22 01:16:51+00:00,"@DrSaraSiddiqui1 @GovMurphy @NYGovCuomo According to the CDC's own numbers, 77.7% of teens did not cite flavors as a reason for vaping. You are destroying the greatest public health opportunity we've had in 120 years. Big tobacco wins! https://t.co/RAcs5tA6FU",stu_dowling,"Wheeling, WV",Freelance writer for Vaping360 & owner/Cutthroat Records.,24,405,3800,False,NaN
2020-01-22 01:17:43+00:00,"RT @AnnCoulter: Oh for pete's sake!  The Supreme Court upheld your Muslim ban, @realDonaldTrump!  Would you please put a temporary travel b…",annieone3,,"""Joy is not in things, it is in us."" ~Richard Wagner",1708,1678,90858,False,"Oh for pete's sake!  The Supreme Court upheld your Muslim ban, @realDonaldTrump!  Would you please put a temporary travel ban on China?

https://t.co/f58k3F2PhV"
2020-01-22 01:18:28+00:00,"RT @CDCgov: CDC is closely monitoring an outbreak of 2019 novel #coronavirus in Wuhan, China. Get the latest updates from CDC for
✈️Travele…",InternaUg,,,130,350,96,False,"CDC is closely monitoring an outbreak of 2019 novel #coronavirus in Wuhan, China. Get the latest updates from CDC for
✈️Travelers to and from Wuhan, China
🏫State &amp; local health departments
👩‍⚕️Healthcare providers
👨‍🔬Laboratorians
❓The interested public
https://t.co/xo3y1InZCv"
2020-01-22 01:19:40+00:00,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab",jauremom,,"Catholic, Pro-Life, Conservative,  Republican  morals & manners matter! Believe you can have conversation without foul language. Unfollow heavy foul/ dirty pic",1301,1846,102418,False,"First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
2020-01-22 01:22:05+00:00,"RT @ajplus: A new virus spreading in China has been detected in Seattle, says the CDC — making it the 1st U.S. case.

▪️ Health officials c…",IrsyadFM,,,221,228,24675,False,"A new virus spreading in China has been detected in Seattle, says the CDC — making it the 1st U.S. case.

▪️ Health officials confirmed the virus is contagious
▪️ It has infected ~300 people, and killed 6, in China
▪️ Cases also in Japan, Thailand, Taiwan, South Korea https://t.co/lURizUEqoC"
2020-01-22 01:22:28+00:00,"RT @CDCMMWR: During a recent investigation in Louisiana, CDC and state health officials looked at the state’s unusually early start to flu…",nconca_minny,Chile ,Mama profe y doctora,10,55,196,False,"During a recent investigation in Louisiana, CDC and state health officials looked at the state’s unusually early start to flu season caused by influenza B viruses, and found that the median age of patients with influenza B virus infection was 6 years. https://t.co/IC41MKaRFM https://t.co/bs9YO2vPJU"
2020-01-22 01:23:01+00:00,"RT @NBCNews: A man in Washington State has been diagnosed with the first known case of coronavirus in the U.S., CDC announced. https://t.co…",stephanieck72,Cloud 9,Clinical-Forensic Psychologist • Online Therapist • Covergirl • Coffee Distributor • Former Teacher • Planes • Animal lover • Speak 4 languages •Taken •,4563,982,20633,False,"A man in Washington State has been diagnosed with the first known case of coronavirus in the U.S., CDC announced. https://t.co/fe5QuiOsg4"
2020-01-22 01:23:45+00:00,RT @CNN: The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan coronavirus…,colinavrech,,Software and game developer. RT & Follow ≠ endorsement.,530,5000,577,False,"The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan coronavirus has been reported in the United States, in Washington state, a federal source outside the CDC tells CNN. https://t.co/R3aPYWq3t6"
2020-01-22 01:23:46+00:00,"RT @NBCNews: A man in Washington State has been diagnosed with the first known case of coronavirus in the U.S., CDC announced. https://t.co…",CatsChocolates,Blue Patch in TX,"Just a mom. Longing for a safe, decent future. For my own and all children. There is no Planet B (yet).

Animals, Kids, Elderly 💗",1340,249,44288,False,"A man in Washington State has been diagnosed with the first known case of coronavirus in the U.S., CDC announced. https://t.co/fe5QuiOsg4"
2020-01-22 01:24:11+00:00,"RT @HelenBranswell: The first U.S. #nCoV2019 case confirmed.
Man in his 30s, Washington State. In good condition. Didn't visit wet markets,…",alemuw1,"Atlanta, GA, USA ","Global Health Leader, Medical Doctor, Public Health Specialist, husband and father, #UHC advocate",13898,2035,12860,False,"The first U.S. #nCoV2019 case confirmed.
Man in his 30s, Washington State. In good condition. Didn't visit wet markets, had no known contact with sick people.
https://t.co/X6Ba8ZHpG9"
2020-01-22 01:24:17+00:00,"RT @NBCNews: A man in Washington State has been diagnosed with the first known case of coronavirus in the U.S., CDC announced. https://t.co…",kenn264,Texas,"@cher fan! Farrah Fawcett freak and Charlie's Angels fan.
@charlieangels76 
@FarrahFawcettFN
@benatargiraldo",1632,2393,135051,False,"A man in Washington State has been diagnosed with the first known case of coronavirus in the U.S., CDC announced. https://t.co/fe5QuiOsg4"
2020-01-22 01:24:34+00:00,"The NYTimes story:
https://t.co/yUWrZxRvWV",boygobong,,Lean and slipper’d pantaloon🌛 Temporary sojourner on the tumbleweed racetracks of the Intermountain West🌛 NOT a Russian asset since 1987,332,2869,34812,False,NaN
2020-01-22 01:25:07+00:00,Wuhan Coronavirus: C.D.C. Identifies First U.S. Case in Washington State https://t.co/vuZiT68FeU,apbioloyd,The Midwest,,29,2,1377,False,NaN
2020-01-22 01:25:50+00:00,"RT @HelenBranswell: The first U.S. #nCoV2019 case confirmed.
Man in his 30s, Washington State. In good condition. Didn't visit wet markets,…",drrandywax,"Toronto, Ontario, Canada","EMS MD @Ornge, ICU Lead MD @CentralEastLHIN @lakeridgehealth, e-ICU MD @HSN_Sudbury, Coroner @ONSafety, Faculty @QueensU/@UofT, David Ayers #90 Fan 🇨🇦",1831,2514,2537,False,"The first U.S. #nCoV2019 case confirmed.
Man in his 30s, Washington State. In good condition. Didn't visit wet markets, had no known contact with sick people.
https://t.co/X6Ba8ZHpG9"
2020-01-22 01:27:18+00:00,"They named a virus after Busta Ryhmes? Got you all in check?

https://t.co/HcLQPU2bAX",therealphreakin,,,3,54,524,False,NaN
2020-01-22 01:27:53+00:00,"RT @cnnbrk: The first US case of the deadly Wuhan coronavirus, in Washington state, is expected to be announced later today by the CDC http…",MicAdney,"Sunyani, Ghana","Research Associate: #Climate Change Adaptation Law; #Environmental Governance & #Politics; #AU Law & #Human Rights Law. UENR - Sunyani, Ghana.",935,771,7273,False,"The first US case of the deadly Wuhan coronavirus, in Washington state, is expected to be announced later today by the CDC https://t.co/v674xdpisV https://t.co/joPOIEq22y"
2020-01-22 01:28:42+00:00,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,ambjones___,"Michigan, USA",Infection Preventionist 🦠💊👩🏻‍🔬,30,206,1283,False,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://t.co/bbH7gGPuyh https://t.co/cGvFc4DYDZ"
2020-01-22 01:28:45+00:00,1st confirmed case of new coronavirus reported in US: CDC https://t.co/uNkDJucwfI,mmayhemjewelry,"Grand Rapids, Michigan","Jewelry Maker, Rocket ship builder, pizza expert, and follow for follower that stays.",727,751,39561,False,NaN
2020-01-22 01:28:48+00:00,"1st U.S. case of deadly new coronavirus found in Wash. state, CDC says https://t.co/Hj7l5JJoUl",nidhighe,"Seattle, WA",Trans. Geek. LibCom. Disabled. Fan of cinema & music. Occasionally disreputable. Pronouns: she/her.,879,2639,27618,False,NaN
2020-01-22 01:29:29+00:00,"RT @nikki_miumiu: #CDC has confirmed the first #US case of #WuhanPneumonia, the patient is now under observation in Washington state. This…",hobbs_hc,Hong Kong,"love HK, love freedom, also love art and music #抗爭抗疫、未竟全功，手足仍需繼續努力",567,558,11660,False,"#CDC has confirmed the first #US case of #WuhanPneumonia, the patient is now under observation in Washington state. This mysterious coronavirus has already claimed at least six lives in China. https://t.co/ywAz4Hp0Dq"
2020-01-22 01:29:53+00:00,@tamaharuchan @NPR I checked CDC website but there is not much information about how this strain differs from the previous coronaviruses (e.g. SARS and MERS) yet.,beriko0214,USA,,3278,578,188685,False,NaN
2020-01-22 01:30:24+00:00,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab",edwardmtz7,,MAGA!!🇺🇸🇺🇸🇺🇸👍👍Support L.E🇺🇸,626,529,30546,False,"First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
2020-01-22 01:30:40+00:00,Coronavirus screenings coming to two more airports as first case hits US https://t.co/zAmXClkoTT #FoxBusiness,wufandmew,USA,,1464,1924,186407,False,NaN
2020-01-22 01:30:47+00:00,"Top story: First Wuhan Coronavirus Patient Identified in the United States https://t.co/iZvM4N9kSi, see more https://t.co/tkxeltzoeU",Ranem_Magazine,"Angleterre, Royaume-Uni",Nature lover 😍😍,103,526,4659,False,NaN
2020-01-22 01:32:42+00:00,"“The patient became ill *four days* after arriving in the United States and sought care.”

#Wuhan #WuhanVirus #WuhanPneumonia 

https://t.co/wl2HjW7IeF",klustout,Hong Kong,"Yep, I'm an anchor/correspondent for CNN. 🎥📝🌏| Instagram: @klustout | Name my momma gave me: 魯可蒂",164856,3071,23020,True,NaN
2020-01-22 01:32:49+00:00,"RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…",patootle_,"Santa Cruz, CA",🇯🇵🇵🇹🇨🇮,128,383,10519,False,"Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. The virus has spread from China to at least 4 other countries. https://t.co/ahjgXTS9sM"
