created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-23 07:35:43+00:00,RT @angrybIackwoman: Remember when the CDC found that the MMR vaccine increased the risk of autism in black boys by 236% then hid the data?,RobertW88954404,United States,"#MAGA, #NRA, #2A, #1A, #Photography, #VietnamVeteran, #Conservative, #KAG, #Qanon, #RV, #RVlife, 
  🐕🍻🏍💯🇺🇸🇩🇪🏓⛳🏹👍🍷🦅",13339,13412,59588,False,Remember when the CDC found that the MMR vaccine increased the risk of autism in black boys by 236% then hid the data?
2020-01-23 07:35:49+00:00,"The first case of Wuhan coronavirus has been reported in the United States, in Washington state, the Centers for Disease Control and Prevention announced Tuesday.​ https://t.co/cQ77Kg9Um9",KPLR11,"St. Louis, MO","The official Twitter page for KPLR11 in St. Louis, MO. News, sports, weather, entertainment and more! Follow our reporters for more updates.",30890,428,50179,True,NaN
2020-01-23 07:35:49+00:00,"@SpencerFernando There’s a UN Security Council seat at stake!!

No way Trudeau would embarrass China like that before the UNSC vote in June

The US is diverting flights to airports that do screening, CDC on tv with info/education

Trudeau hoping this just passes, no need to get China involved https://t.co/9D7ghAsuZs",cfao2020,"Texas, USA",32 year 🇨🇦 Army veteran. Gay before it became popular. Mentally abused and bullied by homophobic Canadian army and tossed to the curb. See video for info,783,324,7520,False,NaN
2020-01-23 07:35:52+00:00,RT @angrybIackwoman: Remember when the CDC found that the MMR vaccine increased the risk of autism in black boys by 236% then hid the data?,CentellaJewel,"London, England","Personal IG - thenotoriouslioness | Entrepreneur| Business IG - ShopcentellaJewel| 
Shop ⬇️",614,500,33411,False,Remember when the CDC found that the MMR vaccine increased the risk of autism in black boys by 236% then hid the data?
2020-01-23 07:36:05+00:00,RT @ChaunceyGardner: @BwalyaChandaBC @WHO @MikeBloomberg I think I see a consensus here.  Respected public health organizations that have l…,BeckyJohnson222,"Seaside, California, USA","Gores sacred oxen, teacher, muck-raker, Santa Cruz 11, #AngryMothers  No Vaccine-Mandates! I ❤= I read it",3175,4179,167199,False,"@BwalyaChandaBC @WHO @MikeBloomberg I think I see a consensus here.  Respected public health organizations that have looked at all the evidence agree:  E-cigarettes are safer than cigarettes.  And note that CDC has always been opposed to e-cigarettes, so their use of language is suspect.  Biased. https://t.co/Dy8S9en1Dh"
2020-01-23 07:36:05+00:00,"RT @P4tR10tBoo: Chinese authorities say the outbreak began in a seafood and live-animal market in the city of Wuhan.

The WASHINGTON STATE…",Trump2021186738,,"Not Fake News.
Covfefe.
And one giant wall.",770,505,53938,False,"Chinese authorities say the outbreak began in a seafood and live-animal market in the city of Wuhan.

The WASHINGTON STATE patient, a man in his 30s, had traveled to Wuhan, but says he did not visit the market in question or know anyone who had the virus. https://t.co/KRL918nYaU"
2020-01-23 07:36:07+00:00,"@StasiAnn @BeautyKINGC CDC, right here https://t.co/65nMBFaANA",bakkerkab8,,,8,53,196,False,NaN
2020-01-23 07:36:07+00:00,"Case fatality rate? It’s a numbers game. Former CDC director Tom Frieden on 3 key questions about the novel coronavirus in Wuhan, China - STAT https://t.co/HKsgqo2FQL",mimilewissabin,"New York, NY",Senior Editor @TheLancet. A glass half empty gal living in nested optimism.,635,889,2685,False,NaN
2020-01-23 07:36:20+00:00,@KellanofLA @Greenmane @frontfangs The CDC showed that guns are used to defend against crime more often than to perpetrate crime. Maybe look at the data again buddy.,BorisForOffice,"Seattle, WA","Main Issues: Public Safety, No Tax Increases, Government Accountability | Former candidate for State Rep in the 43rd District, Position 2. Independent",52,504,358,False,NaN
2020-01-23 07:36:24+00:00,"RT @DemocratFed: Dr. Larry Palevsky states publicly &amp; in a legal affidavit the ""measles outbreak"" in #NewYork was never confirmed by the #C…",pinangodan,,"It's not about the money, they have all the money! They use money & blackmail with promises of immunity to buy loyalty of the politicians they use to betray us.",751,804,15767,False,"Dr. Larry Palevsky states publicly &amp; in a legal affidavit the ""measles outbreak"" in #NewYork was never confirmed by the #CDC's recommended standard, and was likely a #vaccine-strain of measles

#ReligiousFreedom #MedicalFreedom #NoMandates #VaccineChoice

https://t.co/mIOINoPxtE"
2020-01-23 07:36:35+00:00,"RT @nicowaisman: Since most of the news feels like a dystopian future, let’s heard some good news.
The China CDC obtain the genetic sequenc…",c1rdan,"Prague, Czech Republic",Computer science | Security Specialist | I will not die on this planet,292,700,6903,False,"Since most of the news feels like a dystopian future, let’s heard some good news.
The China CDC obtain the genetic sequence of the coronavirus in record time and OPEN SOURCE it!!
Now the medical community is working together on it. https://t.co/YR9JzeqTey"
2020-01-23 07:36:53+00:00,"RT @cfao2020: @SpencerFernando There’s a UN Security Council seat at stake!!

No way Trudeau would embarrass China like that before the UNS…",EliseTRobby,Canada ,"💖Rights are God given💖Daughter of the King👑
Ephesians 6:10-18
RT does not equal endorsement...😎",1438,2416,27355,False,"@SpencerFernando There’s a UN Security Council seat at stake!!

No way Trudeau would embarrass China like that before the UNSC vote in June

The US is diverting flights to airports that do screening, CDC on tv with info/education

Trudeau hoping this just passes, no need to get China involved https://t.co/9D7ghAsuZs"
2020-01-23 07:37:11+00:00,RT @TcatMPS: Y’all remember when that black doctor that worked for the CDC whistleblew that the flu shot was the actual cause of influenza…,FritzthecatAK,Alaska,"i love people, animals, sports, basically anything that makes me happy. Its me on the right in my picture. True neutral alignment",381,619,30268,False,Y’all remember when that black doctor that worked for the CDC whistleblew that the flu shot was the actual cause of influenza outbreak and then he mysteriously went missing and found his body months later in a river of an apparent “suicide by drowning” 🤔🤔🤔 https://t.co/5a3JpVl8HG
2020-01-23 07:37:21+00:00,"RT @GertvanderHoek: China formulates a new surveillance plan for epidemic cases of pneumonitis infections, disease investigation plan, mana…",Fla_Medic,West Central Florida,"Retired EMT-II, Blogging on Emerging Infectious Diseases, Pandemic Influenza, and Personal and Community Preparedness",5139,498,28058,False,"China formulates a new surveillance plan for epidemic cases of pneumonitis infections, disease investigation plan, management plan for suspicious exposed persons and close contacts, and technical guidelines for laboratory testing.

https://t.co/sLM4QxlWr5"
2020-01-23 07:37:29+00:00,"@jenant28 @punsRnotpunny @consoletd @marknoble @mini_mal_ism You do realize that there is a link to all this data if you look on the Wikipedia page.

https://t.co/dqK9zQzeUX",Brett_Coitas,,"Occasional Trader & Writer | Car Enthusiast | Big changes are happening right below our feet, are you watching? Tweets are entertainment, not investment advice.",763,523,30162,False,NaN
2020-01-23 07:37:37+00:00,CDC keeps secret its mishaps with deadly germs https://t.co/inawrZDube via @usatoday,Imstillalive54,"Fairfield, CA",I am a Transgender Political Activist.  I am also a Male to Female (MtF) Transsexual.  I have been unemployed since 07/31/2009 due to Trans bias.,391,1971,19666,False,NaN
2020-01-23 07:38:11+00:00,"RT @Rectitude20: Which is crazier?

1. The CDC claims that mosquitoes, fish and unpasteurized cheese may cause birth defects. Yet, unstudie…",BGamerGib,Somewhere,peace and love even if we don't agree,303,714,5630,False,"Which is crazier?

1. The CDC claims that mosquitoes, fish and unpasteurized cheese may cause birth defects. Yet, unstudied, unregulated toxin filled vaccines are quite safe during pregnancy.

2. The majority of the public accepts this without question."
2020-01-23 07:38:15+00:00,"RT @P4tR10tBoo: Chinese authorities say the outbreak began in a seafood and live-animal market in the city of Wuhan.

The WASHINGTON STATE…",GeenaJagger,,"ObGyn, photographer
Ivy League educated #SuperElite 
Celebrate your own greatness 

BurnItAllDown🔥
WWG1WGA🇺🇸  #ArmyforTrump
USA🇺🇸
SICILIANA(ITALIA) 🇮🇹",3565,1696,144561,False,"Chinese authorities say the outbreak began in a seafood and live-animal market in the city of Wuhan.

The WASHINGTON STATE patient, a man in his 30s, had traveled to Wuhan, but says he did not visit the market in question or know anyone who had the virus. https://t.co/KRL918nYaU"
2020-01-23 07:38:47+00:00,"RT @CDCgov: CDC estimates, that between Oct. 1 and Jan. 11, there were at least 13 million illnesses, 120,000 hospitalizations and 6,600 de…",MerrieSova,Indonesia,"It's me!
Bachelor Science of Nursing",441,267,71094,False,"CDC estimates, that between Oct. 1 and Jan. 11, there were at least 13 million illnesses, 120,000 hospitalizations and 6,600 deaths caused by flu. Learn more about the burden of flu: https://t.co/kfI18PWwiI. https://t.co/irtMP33qgX"
