created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-22 19:51:16+00:00,RT @angrybIackwoman: Remember when the CDC found that the MMR vaccine increased the risk of autism in black boys by 236% then hid the data?,tooDYE4,Live from the gutter ,Nevermind who you thought I was. Block me please.,739,460,239789,False,Remember when the CDC found that the MMR vaccine increased the risk of autism in black boys by 236% then hid the data?
2020-01-22 19:51:20+00:00,"@ColemanMoreing What’s crazy is the CDC announced that airports in N.Y., L.A. and San Francisco is screening Chinese arrivals from Wuhan. My question is, what airport did the guy in Washington arrive at? If it was one of the 3, was he not checked because he’s America? Answers needed!",JamesCheef,Hiding in plain sight,Independent journalist and Owner of https://t.co/WD87A2YCuD and Vice President of Operations for RdElephant https://t.co/vFHlpNManb The new social media platform!,12875,11052,44016,False,NaN
2020-01-22 19:51:27+00:00,"RT @nicowaisman: Since most of the news feels like a dystopian future, let’s heard some good news.
The China CDC obtain the genetic sequenc…",hackarandas,"Houston, TX","Where ideas are dispersed in bytes... 
ITSec Blog - owner: @ch0ks",63,296,533,False,"Since most of the news feels like a dystopian future, let’s heard some good news.
The China CDC obtain the genetic sequence of the coronavirus in record time and OPEN SOURCE it!!
Now the medical community is working together on it. https://t.co/YR9JzeqTey"
2020-01-22 19:51:29+00:00,"RT @CDCgov: If you use e-cigarette, or vaping, products, get medical care right away if you have symptoms like those reported in this outbr…",tomwlsn31,"Denver, CO",I'm interested in wellness and healthy living!  I enjoy discussing with people about the many different ways they can live healthier lives.,343,43,35877,False,"If you use e-cigarette, or vaping, products, get medical care right away if you have symptoms like those reported in this outbreak, such as cough, shortness of breath, chest pain, nausea, vomiting, stomach pain, diarrhea, fever, chills, or weight loss. https://t.co/C2yOBR2GmX"
2020-01-22 19:51:43+00:00,"Yup. Have already seen a conspiracy post circulating on fb about a ""man-made"" and ""patented"" coronavirus ""assigned to the CDC."" https://t.co/piN46oyG3O",lisamjarvis,chicago,"biotech/pharma reporter for @cenmag. bit 'o science, bit 'o business. drug discovery, rare diseases, R&D, med chem, #diversityinSTEM She/her",13920,618,21597,True,NaN
2020-01-22 19:51:55+00:00,"RT @NYTHealth: Breaking News: An individual in Washington State is infected with the Wuhan coronavirus, the first such case in the U.S. The…",marina618ster,New York,"Barranquilla, Colombia",22,90,125,False,"Breaking News: An individual in Washington State is infected with the Wuhan coronavirus, the first such case in the U.S. The outbreak, which began at a market in China, has now spread to at least four other countries. https://t.co/XzGEmR9sLa"
2020-01-22 19:51:57+00:00,"RT @CDCgov: Pregnant women who get vaccinated pass antibodies to their babies. That means when you get vaccines during pregnancy, you aren’…",kokakola29,,views are my own,110,359,9755,False,"Pregnant women who get vaccinated pass antibodies to their babies. That means when you get vaccines during pregnancy, you aren’t just protecting yourself—you are giving your baby some early protection too. See what CDC recommends: https://t.co/1Pz8JXZyve. #Best4YouBest4Baby https://t.co/7Hx5o58LGj"
2020-01-22 19:52:00+00:00,Did you know? #HPV is the most common sexually transmitted infection. Learn more: https://t.co/qUU4GiIPLH,ToHelpEveryone,"Los Angeles, CA","For more than four decades, T.H.E. (To Help Everyone) Health and Wellness Centers has been improving the health and well-being of our communities.",2211,3052,14375,False,NaN
2020-01-22 19:52:04+00:00,RT @CDC_HIVAIDS: Viral suppression is a powerful tool to #EndHIVEpidemic. Multiple studies show that people w/ HIV who get and keep an unde…,GreaterThanAIDS,,"A leading public information response from @KFF to the U.S. HIV epidemic.
IG: @GreaterThanAIDS
RTs≠ endorsements.",57299,6015,8667,True,Viral suppression is a powerful tool to #EndHIVEpidemic. Multiple studies show that people w/ HIV who get and keep an undetectable viral load  have effectively no risk of transmitting #HIV sexually. Learn more: https://t.co/07AjjLvBtU https://t.co/KL81vdCeIk
2020-01-22 19:52:06+00:00,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,MedicalNorton,,"Norton Medical Co. is a medical business founded by Dr. John F Norton Jr ,M.D. who's a primary care physician and Federal Medical Doctor,Clinical Researcher.",51,1008,51,False,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://t.co/bbH7gGPuyh https://t.co/cGvFc4DYDZ"
