created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-22 21:03:59+00:00,"Everyone I hope you are ok cuz of this koronavirus it's a deadly disease and it's already spreading far don't go out without having a breath mask pls be safe when encountering people since it's a disease that infects
Stay safe everyone! 💙❤",iv_gogo,i live on Earth,~stay positive and hydrated~i stan KFC and Kermit~Royale high addict~hate is getting blocked~ok bye now,137,142,4151,False,NaN
2020-01-22 21:14:04+00:00,"China: *Koronavirus breaks out, having the potential to become a big pandamic*

Plague inc. players: I heard Iceland is nice thia time of year",FarczadiR,At ur mom's house,"Just a 15 year old guy who likes to kill his  brain cells on twitter. Also watch out, I'm a professional Minecraft PVP player, I'll fuck you up in skywars 😤.ζ⃠",66,922,696,False,NaN
2020-01-22 21:50:04+00:00,"RT @sweetromance: This matters because China has had to quarantine 11 million people as CDC confirms first case of Coronavirus in US🤔

Chin…",LBSURF01,"NAVARRE BEACH, FL. ","PC-Shield for the thin skinned. GOD Bless the USA.First Responder, Swift Water Rescue Hurricane Harvey,Irma Maria Nate, Gordon, Florence Hurricane Michael #MAGA",3263,5000,45178,False,"This matters because China has had to quarantine 11 million people as CDC confirms first case of Coronavirus in US🤔

China quarantines Wuhan amid coronavirus outbreak: reports 👀🌹

https://t.co/frmUIPGXfN"
2020-01-22 21:50:10+00:00,RT @ABC7: #BREAKING CORONAVIRUS UPDATE: Chinese city of Wuhan shuts down all outbound flights and trains after virus kills 17. No one will…,Beefcake_Effect,LOS ANGELES,"comic books video games pizza & tacos
SC:👻 homealone_420",522,3801,8607,False,#BREAKING CORONAVIRUS UPDATE: Chinese city of Wuhan shuts down all outbound flights and trains after virus kills 17. No one will be allowed to leave the city after 10 a.m. local time. https://t.co/4oh20UJJQS
2020-01-22 21:50:13+00:00,@SueHines1 @CDC_Studio @NewGeog I am delegating your question to @Vision_Warden or @AjayTegala,WickenFenNT,"Wicken, Ely, Cambridgeshire","One of the most important wetlands in Europe. First nature reserve to be bought by the National Trust (1899). Tweets from Ranger John, Julia & volunteers.",6306,1346,5286,False,NaN
2020-01-22 21:50:23+00:00,"RT @ajplus: A new virus spreading in China has been detected in Seattle, says the CDC — making it the 1st U.S. case.

▪️ Health officials c…",jorden_ward,,🤯 2017 college national champion 🤭🤪 . knock ✊🏽✊🏽knock Dechaune Buh R.I.P DD,661,911,11563,False,"A new virus spreading in China has been detected in Seattle, says the CDC — making it the 1st U.S. case.

▪️ Health officials confirmed the virus is contagious
▪️ It has infected ~300 people, and killed 6, in China
▪️ Cases also in Japan, Thailand, Taiwan, South Korea https://t.co/lURizUEqoC"
2020-01-22 21:50:29+00:00,"RT @ECDOH: ICYMI: @CDCgov offers handwashing posters for audiences of all ages, and in multiple languages. 

https://t.co/57CvZxgEW2

Downl…",ActionsSpeak716,"Buffalo, NY",Promoting community service organizations in the 716 area code. Retweets = events. Likes = jobs.,838,1019,28584,False,"ICYMI: @CDCgov offers handwashing posters for audiences of all ages, and in multiple languages. 

https://t.co/57CvZxgEW2

Download for printing or order for free, and post in your workplace, school, church, restaurant or community organization. #PublicHealth https://t.co/SAknbGZ1uU"
2020-01-22 21:50:32+00:00,"RT @CDCgov: The 2019-nCoV outbreak first identified in Wuhan, China, is an emerging, rapidly evolving situation. CDC is providing updated i…",LubbockHimss,"Lubbock, TX",Opinions expressed on this feed are those of the local chapter and not necessarily those of the main HIMSS organization,51,74,212,False,"The 2019-nCoV outbreak first identified in Wuhan, China, is an emerging, rapidly evolving situation. CDC is providing updated information as it becomes available. For the most current information, please check https://t.co/bbH7gGPuyh."
2020-01-22 21:50:42+00:00,We didn't give all the grant monies away this morning so please do look at the CDC website to see if your company/community group could get support from grants that are out there: https://t.co/c916tmQ2IP,Ccc13Sarah,"Chichester, England","Campaigner, Environmentalist. Love travel on foot, by bike & bus. Green Party Member, City & District Councillor. Love listening to residents to help if I can.",193,234,2639,False,NaN
2020-01-22 21:50:53+00:00,"RT @sweetromance: This matters because China has had to quarantine 11 million people as CDC confirms first case of Coronavirus in US🤔

Chin…",grammyteck,,"Grammy, mom, teacher, 𝙋𝙧𝙤-Life, Catholic",4011,4557,47097,False,"This matters because China has had to quarantine 11 million people as CDC confirms first case of Coronavirus in US🤔

China quarantines Wuhan amid coronavirus outbreak: reports 👀🌹

https://t.co/frmUIPGXfN"
2020-01-22 21:50:54+00:00,"RT @CNBC: “We have it totally under control,” President Trump says after the CDC confirmed the first U.S. case of the coronavirus that has…",HEARTLESS1456,Nowhere,"Aspiring Investor ,  ACTOR, SCRIPTWRITER , DIRECTOR AND PRODUCER Barcelona all day 💯. Cule for life . 💯💯. | |MESSI FC|",278,390,49816,False,"“We have it totally under control,” President Trump says after the CDC confirmed the first U.S. case of the coronavirus that has sickened hundreds of people in China. #Davos2020 https://t.co/QYmMpUcbFP https://t.co/CnDkJYBCm5"
2020-01-22 21:51:07+00:00,"RT @StephenPunwasi: 😬 😬 😬

Remember when Ford cut a billion dollars from Toronto's public health? 🤔

A good portion of that was infectious…",DelorenziCarole,"Burlington, Ontario",,695,1768,13992,False,"😬 😬 😬

Remember when Ford cut a billion dollars from Toronto's public health? 🤔

A good portion of that was infectious and communicable disease surveillance and treatment programs. 

Wuhan virus ain’t nuthin’ ta f’ wit.  😅

#cdnpoli #onpoli 

https://t.co/upnSazDImn"
2020-01-22 21:51:15+00:00,Dingell pens a letter to CDC with questions on airport travel concerns and virus outbreak https://t.co/hbiIr5rnuD https://t.co/bTgvI3w1oP,DailyTrib,"Oakland County, Michigan",The Daily Tribune covers local news in the Southeast Oakland County area.,3595,2387,30418,False,NaN
2020-01-22 21:51:30+00:00,RT @FeddiUp: @Acosta He defunded the department of CDC that should be dealing with this.,cstewart37,"Texas, USA","Wife, mom, nana. Retired military veteran I will still #Resist, I will still  #Persist, and I will still #DreamBigFightHard.",462,469,37539,False,@Acosta He defunded the department of CDC that should be dealing with this.
2020-01-22 21:51:31+00:00,"RT @CDCgov: The 2019-nCoV outbreak first identified in Wuhan, China, is an emerging, rapidly evolving situation. CDC is providing updated i…",KarinaTiberius,"Salt Lake City, UT","Research biochemist, teacher, innovator, scuba diver, adventurer, traveler, and yerba mate drinker.",80,352,121,False,"The 2019-nCoV outbreak first identified in Wuhan, China, is an emerging, rapidly evolving situation. CDC is providing updated information as it becomes available. For the most current information, please check https://t.co/bbH7gGPuyh."
2020-01-22 21:51:41+00:00,"RT @Dystopia992: 🇨🇳 #ChinaPneumonia
— The CDC has confirmed the FIRST #US case of Wuhan #coronavirus after a traveler was diagnosed in Seat…",LeeXinglin,,,2,31,16,False,"🇨🇳 #ChinaPneumonia
— The CDC has confirmed the FIRST #US case of Wuhan #coronavirus after a traveler was diagnosed in Seattle, #Washington.

Birds, raccoon dogs, rodents.. @CNN’s video inside #Wuhan’s Hainan “Seafood” Market, origin of #WuhanPneumonia..
https://t.co/GjF1aDFkZU"
2020-01-22 21:51:52+00:00,"RT @iGoBydaTruth: CALLING ALL ARTIST &amp; LOVERS!

Join me THIS SUNDAY for Spit Your Truth featuring @BLFRANKY brought to you by STARS CDC &amp; T…",Quakez_MrByB,@FootballStateOfMind,"Call me Mr. Mr Quick to get witcha... H.M.R™ comin to speakers near you @ReallyVilly86 @Mr_SnatchYoGurl   #WSTLND  https://t.co/pNFP0cYtIC
¯\_(ツ)_/¯ --- that Guy",444,426,65890,False,"CALLING ALL ARTIST &amp; LOVERS!

Join me THIS SUNDAY for Spit Your Truth featuring @BLFRANKY brought to you by STARS CDC &amp; The Truth Collective 🔥🔥🔥

Hosted by yours truly.

Video by MaccGreen Media LLC 🙌🏾
Must register online to attend https://t.co/3MEpTmRUbd https://t.co/7boT7KE1qT"
