created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-22 03:42:27+00:00,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,mpluvme,,Catholic! :),185,566,8924,False,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://t.co/bbH7gGPuyh https://t.co/cGvFc4DYDZ"
2020-01-22 03:42:33+00:00,"RT @CDCemergency: Big or small. Furry 🐕, feathered 🦜, or finned 🐠. Pets are family too. Here are 5 ways to prepare them for an emergency: h…",ReadyNJ,"West Trenton, NJ","Official Twitter account of the New Jersey Office of Emergency Management, NJ Task Force One (NJ-TF1), & NJ Type 3 All-Hazard Incident Management Team  #ReadyNJ",64092,692,13289,True,"Big or small. Furry 🐕, feathered 🦜, or finned 🐠. Pets are family too. Here are 5 ways to prepare them for an emergency: https://t.co/RGOLKMALBm #PrepYourHealth #OneHealth #TuesdayThoughts https://t.co/rT5TpX13lQ"
2020-01-22 03:42:44+00:00,"RT @reallygraceful: ""The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan…",Teahoward,"Saint Louis, MO",Saint Louis native. Twitter activist. Retweet Queen,270,630,50636,False,"""The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan coronavirus has been reported in the United States, in Washington state, a federal source outside the CDC tells CNN.""

Thoughts?
🦠🤢🦠 https://t.co/pUmtwxAMFR"
2020-01-22 03:42:51+00:00,"RT @CNN: The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Diseas…",maknae_brii,"El Paso, TX",23.🥀 Too stoned.🖤✨ Lola🐶💘 Loki💙🐶 내가 잘했다고 말해 💎Shawol💎👑V.I.P👑✨STAY✨🔥ATiny🔥🌙To Moon🌙 #EXO 💜ARMY💜➕MOA➕ 🆎NEW❣️MAY❣️🏳️‍🌈HARLING🏳️‍🌈 #iGOT7,142,420,16203,False,"The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Disease Control and Prevention announced. The virus has already sickened hundreds and killed six people in Asia. https://t.co/odemhZIlSY"
2020-01-22 03:43:22+00:00,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,54Doggie,,Some days I'm a hot dog.....some days I'm a chilly dog.  There are those in this world that need a good nip in the ankle.,3774,4969,160500,False,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://t.co/bbH7gGPuyh https://t.co/cGvFc4DYDZ"
2020-01-22 03:43:23+00:00,"RT @CNN: The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Diseas…",35mmpue,"Puebla, México",Lo que tu quieres ver...,1303,443,44111,False,"The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Disease Control and Prevention announced. The virus has already sickened hundreds and killed six people in Asia. https://t.co/odemhZIlSY"
2020-01-22 03:43:26+00:00,"RT @CNN: The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Diseas…",taghridalkhans1,,,26,163,260,False,"The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Disease Control and Prevention announced. The virus has already sickened hundreds and killed six people in Asia. https://t.co/odemhZIlSY"
2020-01-22 03:43:45+00:00,"RT @geekgirlden: The CDC found an infected person in the Seattle area, which begs the question -- why wasn't SeaTac included in the extreme…",Pooterbugsmom,"Missouri, USA - SHOW ME",Free Press & 1st Amendment... if we have those 2 things we will remain FREE,4586,4904,130656,False,"The CDC found an infected person in the Seattle area, which begs the question -- why wasn't SeaTac included in the extreme caution from the CDC? https://t.co/J27gUXJi0t"
2020-01-22 03:43:59+00:00,My boyfriend surprised me with a trip to Atlanta to go see the CDC headquarters because I start my infectious disease epi Masters program this year and it’s my dream to be an ID doctor for the CDC 🥺🥺🥺🥺🥺,leslien0pe,"District of Columbia, USA",out of pocket,1282,296,40270,False,NaN
2020-01-22 03:44:03+00:00,"RT @talialikeitis: Ahhh... the manufactured CORONAVIRUS is on its way. Patented in 2015, the CONvenience of it all once again. 

Reminding…",leakseekers,Toronto,I stop Roof leaks in and around the GTA,257,295,17013,False,"Ahhh... the manufactured CORONAVIRUS is on its way. Patented in 2015, the CONvenience of it all once again. 

Reminding you that as of 1/21/2020, the CDC website states it’s a common illness that most people will recover from. Wait for the fear campaigns to kick in... https://t.co/isf6LMc3m2"
2020-01-22 03:44:06+00:00,"RT @cnnbrk: A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7E…",hker5demands,,"五大訴求 缺一不可

光復香港 時代革命

#FightforFreedom
#StandWithHongKong
#FiveDemandsNotOneLess
#FreeHongKong
#followbackhongkong",950,1105,6958,False,"A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7EEW72g https://t.co/JbaRGMDZpA"
2020-01-22 03:44:10+00:00,RT @Inevitable_ET: China's contagious killer virus comes to the US: American man in his 30s is hospitalized in Washington state with SARS-l…,mary_mccartney,,"no dates
WWG1WGA
Exclude emotion & personal desire. Instead use logic & critical thinking. Emotion clouds judgement.",773,1147,18295,False,"China's contagious killer virus comes to the US: American man in his 30s is hospitalized in Washington state with SARS-like coronavirus after visiting Wuhan, CDC says 
https://t.co/GsKpwLqvuQ"
2020-01-22 03:44:11+00:00,"RT @molratty: The statistics for accidental shootings are so low the CDC doesn't even have those numbers, but it reports accidental shootin…",JamesCali3,,"Love my family, my country, work hard for what I have, common sense, carnivore, occasionally vulgar, no racists! my real name is Hamish #MAGA",11715,11812,124490,False,"The statistics for accidental shootings are so low the CDC doesn't even have those numbers, but it reports accidental shooting deaths at about 400 a year. 

There are 4.7 million dog bites each year. https://t.co/sN5wV5HkSP"
2020-01-22 03:44:15+00:00,"RT @CNN: The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Diseas…",lesliejoan58,"California, USA","Non-deplorable. Member of the resistance. Pretty sure God is a woman, Trump is a racist and Mike Pence is gay.",566,604,223924,False,"The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Disease Control and Prevention announced. The virus has already sickened hundreds and killed six people in Asia. https://t.co/odemhZIlSY"
