created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-22 08:31:51+00:00,"Notes from the Field: A Novel Coronavirus Genome Identified in a Cluster of Pneumonia Cases — Wuhan, China 2019−2020 - source: China CDC

https://t.co/k2yFq2kXNE https://t.co/4VsKuBiD0f",GertvanderHoek,Netherlands,Health: it's all about your mitochondria.   I prefer food that has been processed or refined as little as possible.,1950,319,24202,False,NaN
2020-01-22 08:32:10+00:00,"@LindseyPaigeB @JustinMStrahan @estockbridge @WhippleMarc @RichSeviora @Tylerjswolff It just occurred to me:

Outsource the cost of gun-death-and-accident studies to the fucking insurance companies. Fuck the CDC let's use capitalism!",elseedubya,,Millennial in the midst of a mild existential crisis. It’s fine.,512,668,17207,False,NaN
2020-01-22 08:33:28+00:00,"Spread of coronavirus prompts CDC to expand 'enhanced health screenings' to 2 more US airports https://t.co/T780FUQUIA

Spread of coronavirus prompts CDC to expand 'enhanced health screenings' to 2 more US airports

The Centers for Disease Control and Prevention (CDC) announced… https://t.co/G2kUYoTxYq",News53198949,Nepal,24 hour  News,32,80,4130,False,NaN
2020-01-22 08:33:37+00:00,AFD Blog `Taiwan CDC Update On Novel #Coronavirus Cases &amp; Preparedness' https://t.co/2u0GcfERsO,Fla_Medic,West Central Florida,"Retired EMT-II, Blogging on Emerging Infectious Diseases, Pandemic Influenza, and Personal and Community Preparedness",5143,498,28061,False,NaN
2020-01-22 08:33:46+00:00,"RT @GertvanderHoek: Notes from the Field: A Novel Coronavirus Genome Identified in a Cluster of Pneumonia Cases — Wuhan, China 2019−2020 -…",Fla_Medic,West Central Florida,"Retired EMT-II, Blogging on Emerging Infectious Diseases, Pandemic Influenza, and Personal and Community Preparedness",5143,498,28061,False,"Notes from the Field: A Novel Coronavirus Genome Identified in a Cluster of Pneumonia Cases — Wuhan, China 2019−2020 - source: China CDC

https://t.co/k2yFq2kXNE https://t.co/4VsKuBiD0f"
2020-01-22 08:34:01+00:00,"It should be interesting to see how the #markets react as this continues

CDC confirms first US case of coronavirus that has killed 9 in China https://t.co/MB3UNY4XuS",halfbare,,My journey to becoming a financial advisor has just started. Sharing what I learn to help others. Join me on my adventure. #CFP #ChFC #personalfinance #finance,107,601,1414,False,NaN
2020-01-22 08:35:07+00:00,"RT @eve_eats_apples: You need to pay attention to this

Lambie will support the #Indue #CDC  national roll out within 2 yrs, &amp; NO opt-outs…",Huw_Merlin,"Sydney, New South Wales","Books available - SOJOURN -
WITCHES, DEVILS AND OTHER THINGS. All platforms writer/creator/communicator-  following politics, news and important people",7235,7397,152843,False,"You need to pay attention to this

Lambie will support the #Indue #CDC  national roll out within 2 yrs, &amp; NO opt-outs

If it doesn't effect you now, chances are it will one day, or someone you know

It's UNCONSTITUTIONAL!!

NO to #cashlessdebitcard 

#auspol https://t.co/fScMRd1BsI"
2020-01-22 08:35:22+00:00,@Minihova @GregoryBlakley @FlexTheGodd @CDC_Plays What happen to FreshAE,pocho_956,,☦⏩🥛🍯 🧘🏽‍♂️🙏,110,419,3141,False,NaN
2020-01-22 08:35:22+00:00,"RT @TheAMRCentre: To see the problem of #AMR, you have to track it, or you won't know how bad it is until it's too late.
https://t.co/pX3ea…",throse_gd,Australia,"Clinical Nurse Consultant-Infection Control & Public Health.Great interests in epi,micro, genomics,global outbreak & decoding Australian law in clinical setting",97,326,4141,False,"To see the problem of #AMR, you have to track it, or you won't know how bad it is until it's too late.
https://t.co/pX3eaut0gr
@CDCgov @CDC_NCEZID 
#Biotech #SciComm https://t.co/ei2clWoQdc"
2020-01-22 08:35:59+00:00,"RT @EndGameWW3: CDC expected to announce first US case of Wuhan coronavirus
https://t.co/VvFEpWDPNM",GuyFema,United Kingdom,,8,20,1125,False,"CDC expected to announce first US case of Wuhan coronavirus
https://t.co/VvFEpWDPNM"
2020-01-22 08:36:59+00:00,"RT @ABC: Washington Gov. Jay Inslee on first confirmed case of coronavirus reported in U.S.: ""The risk is low to residents of the state of…",Childishnegrit0,"Fort Worth, TX","María💗Vida Buena , Buena Vida😜 🇩🇴",383,431,18543,False,"Washington Gov. Jay Inslee on first confirmed case of coronavirus reported in U.S.: ""The risk is low to residents of the state of Washington.""

""This is certainly not a moment for panic or high anxiety. It is a moment for vigilance."" https://t.co/FsCRAdLtSR https://t.co/ba26z2KHIb"
2020-01-22 08:37:24+00:00,First Patient With Wuhan Coronavirus Is Identified in the U.S. https://t.co/I5cPqCujrM,JajaAgpalo,ǝnuǝʌɐ uooɯʎǝuoɥ,Jaja has a degree in journalism and took classes in international law and business communication. Managing Editor at @EconoDaily.,52,100,3691,False,NaN
