created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-04-30 21:59:19+00:00,RT @ChanelRion: This is why @DiamondandSilk have become household names - their truth shots come out of both barrels and hit the target tim…,noangel5663,,,346,221,32749,False,"This is why @DiamondandSilk have become household names - their truth shots come out of both barrels and hit the target time and again. 

Thank you, Diamond and Silk for injecting common sense into a world long gone mad. https://t.co/6mGHc6ndpp"
2020-04-30 21:59:19+00:00,RT @CurlyJungleJake: People shouldn’t worry so much about the WHO announcement on COVID19 immunity: 80% of people appear to produce antibod…,IPDCarrie,"Kent, UK","Associate Senior Research Fellow UEA, Co-founder International Institute for Practice Transformation #ImPACT",5494,5986,46661,False,People shouldn’t worry so much about the WHO announcement on COVID19 immunity: 80% of people appear to produce antibodies and people produce T-cell immunity. Many of the “reinfection cases” were test error. Monkeys get immunity. We will discuss tomorrow live at 11AM PST
2020-04-30 21:59:19+00:00,RT @funder: We shouldn’t have to shame the leader of the coronavirus task force into wearing a mask while in public. Pence should be remove…,wayson8209,UN NYC,Chemicalworker,6,111,749,False,We shouldn’t have to shame the leader of the coronavirus task force into wearing a mask while in public. Pence should be removed from the coronavirus task force immediately. Raise your hand if you agree. #VirusFreeVoting
2020-04-30 21:59:19+00:00,I honestly don’t feel bad for any of these “patriots” going to rallies risking their health...I feel bad for the rest of us who are sacrificing our time social distancing and the health care workers who will have to treat these dumbasses.,darasdayoff,1990s,handling one existential crisis at a time,371,424,6869,False,NaN
2020-04-30 21:59:20+00:00,"RT @maddow: ""The notion that dead New Yorkers could be left to decay in broad daylight in rental trucks on a crowded street underscored the…",JerseyGardenDog,"New Jersey, USA","#resist ,Dog Lover,  Surgeon, MBA ,Mother, Wife, Sister,Daughter, MENSA; Farmer, Shepherd,
Fan of Pelosi, Warren, Maddow, Porter,Harris",4133,4234,17258,False,"""The notion that dead New Yorkers could be left to decay in broad daylight in rental trucks on a crowded street underscored the challenges facing the city as it tries to absorb a disaster that's killed nearly 5 times as many as died in the 9/11 attacks.""
https://t.co/6k3LsN4O2M"
2020-04-30 21:59:20+00:00,"RT @Sjopinion10: I absolutely agree with this! 

I think segments of the British media are a disgrace ...

Who does the press purport to re…",djb2708,United Kingdom,"Live life, Love life.


All posts are my own views and not of the law firm I represent.",1038,2158,72953,False,"I absolutely agree with this! 

I think segments of the British media are a disgrace ...

Who does the press purport to represent ... #skynews #bbcnews 

Cranking up and peddling destructive narrative and constant doom mongering 

Covid, economy... next PTSD and suicide https://t.co/MYZc6vAZeX"
2020-04-30 21:59:20+00:00,"RT @DefendDemocracy: ""The ability to think, act &amp; communicate without the expectation that someone is watching or listening is fundamental…",VKavvasoglu,"Hatay, Türkiye",Haber Gündem Ekonomi ve Finans Siyaset Köşe Yazarları Yerli Müzik Müzik Kültür Sanat Sinema.BENİ TAKİP EDEN EDER TAKİBİ BIRAKAN KENDİ BILIR.KALAN SAĞLAR BIZIM.,1355,5001,67237,False,"""The ability to think, act &amp; communicate without the expectation that someone is watching or listening is fundamental to a thriving democracy.""

9/11 taught us: ""Once you give away those rights &amp; privacies you’re never going to get them back.""

https://t.co/WkzNUppQ3q #CoronaApps https://t.co/QoZDfdNBJ7"
2020-04-30 21:59:20+00:00,Love it!  Makes me proud! https://t.co/uHLxkChwJ0,PJ_Daddio,"Pennsylvania, USA","Pittsburgh is home / Proud father of 4. A man of solid conviction.
#MAGA
#KAG2020",325,373,6017,False,NaN
2020-04-30 21:59:20+00:00,"RT @chantal_oiseau: We locked down on the 17th March. Remind me when the UK started their half assed version of it, again? https://t.co/Xfo…",sw19,,,159,942,58137,False,"We locked down on the 17th March. Remind me when the UK started their half assed version of it, again? https://t.co/XfooXrT1LS"
2020-04-30 21:59:20+00:00,RT @Luisper25684877: Yeah and it’s your fault I didn’t catch fish 🎣 why 🥺,Luisper25684877,"Florida, USA",lifetime Republican no freebies please father husband brother wrestling family Love the USA 🇺🇸No! DM Thanks,1075,1525,5266,False,Yeah and it’s your fault I didn’t catch fish 🎣 why 🥺 https://t.co/3XflIukiND
