created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-21 22:45:27+00:00,"RT @AnneKPIX: @CDC has activated its emergency operations center. 
They expect more US cases.
#coronavirus",Huerconetzin,#Tuittnochtitlan ,"#ʳᵉʸᵈᵉˡⁱᵐᵖᵉʳⁱᵒᵗʷⁱᵗᵗᵉʳᵒ ᶜᵒⁿᵠᵘⁱˢᵗᵃⁿᵈᵒ ᵒᵗʳᵒˢ ᵗⁱᵐᵉ ˡⁱⁿᵉˢ,  ˢⁱ́ᵍᵘᵉᵐᵉ ʸ ʲᵘⁿᵗᵒˢ ᵈᵉᶠᵉⁿᵈᵉʳᵉᵐᵒˢ #ᵗᵘⁱᵗᵗⁿᵒᶜʰᵗⁱᵗˡᵃⁿ.
#ʸᵒᵃᵖᵒʸᵒᵉˡᵖᵃʳᵒ9ᵐ .",345,1873,10654,False,"@CDC has activated its emergency operations center. 
They expect more US cases.
#coronavirus"
2020-01-21 22:49:17+00:00,RT @OurWarOnCancer: Where is our FEDERAL vaccination education campaign for HPV?! Where is our FEDERAL #lungcancer screening program?! (and…,Paxman42,"Washington, D.C.","Advocacy for Affordable, Accessible, Comprehensive Healthcare for ALL Americans. Retired Physician., cancer survivor. VOTE BLUE.",398,1229,15063,False,"Where is our FEDERAL vaccination education campaign for HPV?! Where is our FEDERAL #lungcancer screening program?! (and Hep B Vaccination, colon cancer screening) Save lives &amp; save money. @NCIprevention @CDC_Cancer @Surgeon_General @SecAzar @NCIDirector @NIHDirector https://t.co/vFhxtSLB3y"
2020-01-21 22:54:57+00:00,"RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…",beerhowell,+63,Raves and rants about anything.,69,463,15607,False,"Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. The virus has spread from China to at least 4 other countries. https://t.co/ahjgXTS9sM"
2020-01-21 22:18:51+00:00,RT @ScottAnthonyUSA: ⚠️ IT SHOULD BE NOTED that the CDC initially had an embargo placed on CDC testimony.  The TRUMP ADMINISTRATION LIFTED…,FREEDANON17,"  🌳🇺🇸Tree of Liberty , USA 🌳🇺🇸","Q-LIBERTARIAN, PRO-TRUMP, #MAGA! • #1A-#2A- WWG1WGA • SLAVES NO MORE • PATRIOTS UNITED! 🇺🇸🇺🇸RESURRECT THE CONSTITUTION🇺🇸 🇺🇸#THEGREATAWAKENING #QANON",4205,2403,88679,False,"⚠️ IT SHOULD BE NOTED that the CDC initially had an embargo placed on CDC testimony.  The TRUMP ADMINISTRATION LIFTED the embargo so that the general public could be well informed... in other words:

FULL TRANSPARENCY"
2020-01-21 22:34:07+00:00,"RT @eugenegu: With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are d…",mariafrancia76,#NOCHILLPHILIPPINES,pre-2015 tweets are prob word vomit. ✌️. IG storying life at @planetickettofrance.,559,643,21050,False,"With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are definitely more cases than have been estimated. The virus has an incubation time of 8-10 days so people probably traveled internationally without symptoms."
2020-01-21 22:47:01+00:00,RT @CDCgov: PHAP gives future #publichealth professionals critical frontline experience. Apply now! https://t.co/8kzRD1IADl https://t.co/ha…,IAmTonyaNash,"Atlanta, GA","Carolina girl living in the Peach State. Founder of the  @AutismFaithNet. Wife of 1. Mommy of 2. I tweet about #faith, #autism & #publichealth stuff.",3823,4634,4829,False,PHAP gives future #publichealth professionals critical frontline experience. Apply now! https://t.co/8kzRD1IADl https://t.co/hajvGtrffF
2020-01-21 22:57:19+00:00,"RT @PMBreakingNews: Breaking: The CDC is expected to announce the first case of the new strain of coronavirus, or nCov, in Washington state…",_ayychris,"Oxnard, CA",19- sc:ayychris8,135,134,13938,False,"Breaking: The CDC is expected to announce the first case of the new strain of coronavirus, or nCov, in Washington state in the United States."
2020-01-21 22:50:45+00:00,RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…,ParkvilleMOm,"Parkville, MO",Kansas City Native. I am who I am...and that's saying a Lot!,1823,1565,17479,False,"The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus in the Unites States, a day after the agency concluded the potentially deadly illness can be transmitted person-to-person https://t.co/unxYqze9Eu https://t.co/QjNqYM1Xlc"
2020-01-21 22:23:58+00:00,RT @guardiannews: Coronavirus: health officials announce first known US case https://t.co/iEAlZy8Dwq,wQQn,Japan,Information Hub.,2080,120,892176,False,Coronavirus: health officials announce first known US case https://t.co/iEAlZy8Dwq
2020-01-21 22:20:12+00:00,RT @AsapSCIENCE: The CDC just confirmed the first American case of Wuhan coronavirus. 6 people have now died and virologists are figuring o…,AkhileshTekade,Navi Mumbai ↔ Pune,“Sorry! I don't like to write about myself”...✍,1014,366,89798,False,"The CDC just confirmed the first American case of Wuhan coronavirus. 6 people have now died and virologists are figuring out how it spreads. It seems to have started in an animal market in Wuhan, China, with cold weather helping the virus flourish. 

MY GOD, 2020 NEEDS TO STOP!!"
